spending_txid,vin_index,input_txid,input_vout,value_btc,generated,created_height,tip_height,age_blocks,age_days,note
a08fc6a8169405e4eae07d3e00658d3babdb27602f24046458a4ceb780c66b1d,0,68b09002345adf070ebb7266b8c7b099be331816cdbafdd58416bff5d20dacf6,0,0.80102732,False,954290,968282,13992,97.1667,
3026e8a1507b15a6fea6b3046caa828272fc1f7ad1fcf101e0da1ebcd4fd7711,0,9fd21a3eb8e8c23e8f8a68b91daa460d71cd1b839c05231e0888a971ed27c802,1,101.01851587,False,950495,968282,17787,123.5208,
89af2964adce40686c614d13d17ac58e01fc90cdb85290dba080849cc14978d7,0,c0e56b68aebb4d708ef940c1d1758f5860b7c0502f83b1f3f61b602b51245a8b,1,0.94598175,False,967960,968282,322,2.2361,
981f8c74103912176b8cf9f7e0d4bf2fa70b9f05ab2912e544d6ea09a8625b81,0,e78e06340523a0c871ab3da2c651c11586f9b4902b36c7a1b3e38d8d144fe8d9,0,0.6443463,False,968281,968282,1,0.0069,
3f7b1a660b9ea10fc12075a42a941f22a139c4a5b041d220d1c78a373fdcd3f6,0,f4e3182b410606bfe5b35bf0336c593d27b0ee75b28c030c22467ee950f1bad4,1,0.0837006,False,966208,968282,2074,14.4028,
8f78908bd575cbaff6aa8a6fa9fbcabb58f8308b649ee4e182da0497c1dc3c7b,0,0d863036708ea46c698099cc6e271a82c42810550c7df61efbeae8b95dbd450e,0,0.003,False,968281,968282,1,0.0069,
8f78908bd575cbaff6aa8a6fa9fbcabb58f8308b649ee4e182da0497c1dc3c7b,1,76a9e0220ed41d759dfb42787a2cb6ea6441fae0a3262d891d865fc5e0f4eac6,1,0.00010841,False,928969,968282,39313,273.0069,
1027e0358f5001fc6b40c2fcbd3a3a03499c70b00d1c4c8931e4f44d161676a6,0,0f9d60d057e8b1bdd046c1d0a69206dc0c52be25827df9300fe53fe92e8f5a8f,0,0.01755,False,968276,968282,6,0.0417,
d49b675900d2ada7db67d5860785f74e68b755c5a09159fe313cd0b537d6034b,0,9d41f64929a0bc0e0f25206972dc1f59f3ee9120a864daceabe72f03a5ba9a18,1,13.26232288,False,968165,968282,117,0.8125,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,0,0034b2eaaf6f527a1d70dc8b822f25a2ac8a7f48bcf0664b97983f493e3168ad,0,0.00519065,False,968203,968282,79,0.5486,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,1,06d9e51751f456dad235329fbc81087f9a809f809adc2b945e8be2b423305814,14,0.00346449,False,968200,968282,82,0.5694,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,2,0710f73650bce6900f30492e0c0af68bb5f6fe24d90e2fda94b146895d347d2f,7,0.00071341,False,968147,968282,135,0.9375,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,3,08b1dd54d2bd4c1ce1ecda528b329138955dcc72b6788eac2151cc47efc7cb56,3,0.01269456,False,968202,968282,80,0.5556,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,4,090636fa33a3d070261a26e82f3ba4fb6a7f4eeab60ebc8e46c27dcecd26577d,8,0.0735432,False,968208,968282,74,0.5139,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,5,0b11c0a62b14b51448aab98a10616860d04ac2e51cf74ec1bdc615803bac6ecd,6,0.00072863,False,965381,968282,2901,20.1458,
